小学校,中学校,区名,町名,区域,備考
元岡小,元岡中,西区,周船寺,1丁目13番(25号、28号)、2丁目19番、20番,
元岡小,元岡中,西区,学園通,1丁目～3丁目（ただし、3丁目2605～2619を除く・・・西都北小）,
元岡小,元岡中,西区,北原,2丁目41番,
元岡小,元岡中,西区,大字桑原,全域,
元岡小,元岡中,西区,大字元岡,全域,
元岡小,元岡中,西区,元浜,1丁目～4丁目,
元岡小,元岡中,西区,田尻,1丁目～3丁目（ただし、2丁目14番を除く・・・西都北小）,
元岡小,元岡中,西区,田尻東,"1丁目8番の一部、9番の一部、10番～14番、15番の一部、16番の一部、17番、21番の一部、27番の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと 2丁目（ただし、2586～2604を除く・・・西都北小）、 3丁目（ただし、2550～2554，2557～2567、2570（12）・・・玄洋小、2568、2569、2570（12以外）、2571～2585、2686～2714・・・西都北小 を除く）",
元岡小,元岡中,西区,丸川,1丁目～2丁目,
元岡小,元岡中,西区,太郎丸,1丁目～4丁目,
元岡小,元岡中,西区,大字太郎丸,全域,
元岡小,元岡中,西区,九大新町,全域,
元岡小,元岡中,西区,泉,1丁目～3丁目,
元岡小,元岡中,西区,富士見,1丁目～3丁目,
百道小,百道中,早良区,百道,1丁目～3丁目,
百道小,百道中,早良区,室見,1丁目,
百道浜小,百道中,早良区,百道浜,1丁目～4丁目,
弥永小,曰佐中,南区,曰佐,3丁目,
弥永小,曰佐中,南区,柳瀬,1丁目、2丁目,
弥永小,曰佐中,南区,弥永,"4丁目1番,2番",
弥永小,曰佐中,南区,弥永団地,全域,
弥永西小,曰佐中,南区,警弥郷,1丁目～3丁目,
弥永西小,曰佐中,南区,弥永,1丁目～3丁目、4丁目3番～27番、5丁目,
弥生小,那珂中,博多区,板付,3丁目1番～7番、8番(板付団地のみ)、9番～13番、14番(板付団地のみ),
弥生小,那珂中,博多区,諸岡,1丁目1番～20番,
弥生小,那珂中,博多区,那珂,4丁目、5丁目,
弥生小,那珂中,博多区,東那珂,3丁目,
横手小,横手中,南区,横手町,1丁目～4丁目(ただし、3丁目41番の一部、42番、43番を除く･･･曰佐小),
横手小,横手中,南区,横手南町,全域,
吉塚小,吉塚中,博多区,吉塚,1丁目1番～12番、14番、18番～45番、2丁目5番～21番、3丁目、4丁目1番、2番、12番～16番、5丁目4番、5番、14番～17番,
吉塚小,吉塚中,博多区,榎田,1丁目、2丁目,
吉塚小,吉塚中,博多区,大字堅粕,全域,
吉塚小,吉塚中,博多区,千代,1丁目1番(1号～18号、85号～99号)、4番,
吉塚小,吉塚中,博多区,豊,1丁目、2丁目,
老司小,老司中,南区,野多目,4丁目14番～17番、18番(15号～60号)、31番、32番、6丁目,
老司小,老司中,南区,老司,1丁目1番(18号～25号)、5番(1号～17号、37号～53号)、7番(1号～8号、29号～39号)、8番～35番、2丁目～4丁目、5丁目1番～28番、54番,
老司小,老司中,南区,鶴田,4丁目23番(8号～10号),
若久小,野間中,南区,高宮,5丁目5番～20番,
若久小,野間中,南区,多賀,1丁目1番～10番、19番～21番（ただし、1丁目9番16号～33号を除く…大池小）,
若久小,野間中,南区,野間,1丁目14番(16号、18号～21号)、15番(3号～8号)、16番～18番、2丁目～4丁目,
若久小,野間中,南区,柳河内,1丁目,
若久小,野間中,南区,若久,1丁目1番～21番、24番～40番、4丁目,
若久小,野間中,南区,筑紫丘,"2丁目5番(1号、2号の一部、26号～35号) ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
若宮小,多々良中,東区,若宮,2丁目～5丁目,
若宮小,多々良中,東区,舞松原,1丁目、2丁目1番～14番,
若宮小,多々良中,東区,水谷,1丁目1番、2番、4番、16番～18番,
脇山小,早良中,早良区,脇山,1丁目、2丁目,
脇山小,早良中,早良区,大字脇山,全域,
脇山小,早良中,早良区,大字板屋,全域,
脇山小,早良中,早良区,大字小笠木,全域,
脇山小,早良中,早良区,大字椎原,全域,
和白小,和白中,東区,和白,2丁目、3丁目、4丁目8番(14号～20号)、9番～29番、5丁目、6丁目(ただし、5丁目17番を除く…美和台小),
和白小,和白中,東区,塩浜,1丁目1番～37番、2丁目、3丁目349番地1～490番地1、811番地1～856番地,
和白小,和白中,東区,奈多,1丁目1番～4番,
和白小,和白中,東区,美和台,"3丁目36番の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
和白東小,和白丘中,東区,大字上和白,"278(2)～629、1401の一部 ※一部の詳細は、学校計画第1課・第2課へ照会のこと",
和白東小,和白丘中,東区,和白東,1丁目～5丁目（ただし、5丁目22番、23番を除く…美和台小）,
和白東小,和白丘中,東区,高美台,1丁目～4丁目,
